name,website,city,industry,employees,short_description,tags,founded,linkedin,product_leader,opportunity
Aardman,http://www.aardman.com,Bristol,animation,420,,"post production, online, interactive, tv, animation production, international distribution",1976,http://www.linkedin.com/company/aardman,None found in Apollo,🎯 Target — no product leader found
BGI,http://www.wearebgi.com,Cardiff,staffing & recruiting,420,,"talent service, recruitment consultancy, sector experts, staff development, neutral vendor, legal recruitment",2007,http://www.linkedin.com/company/we-are-bgi,None found in Apollo,🎯 Target — no product leader found
Hafod,http://www.hafod.org.uk,Cardiff,nonprofit organization management,410,,"domiciliary care, building affordable housing, nursing, human resources, supporting vulnerable adults, extra care schemes",1968,http://www.linkedin.com/company/the-hendre-group,None found in Apollo,🎯 Target — no product leader found
7 Steel UK,http://www.7steeluk.com,Cardiff,mechanical or industrial engineering,370,,"steel, rebar, recycling, circular economy, manufacturing, domain parking",2003,http://www.linkedin.com/company/7steeluk,None found in Apollo,🎯 Target — no product leader found
Audit Wales,http://www.audit.wales,Cardiff,accounting,300,,"performance audit, financial audit & performance audit, financial audit, public sector governance, value for money, audit compliance",2005,http://www.linkedin.com/company/audit-wales,None found in Apollo,🎯 Target — no product leader found
ACT Ltd,http://www.acttraining.org.uk,Cardiff,government administration,300,,"jobs growth wales, higher apprenticeships, work ready, traineeships, essential skills, preapprenticeship programmes",1988,http://www.linkedin.com/company/act-training,None found in Apollo,🎯 Target — no product leader found
Precision Resource Group (PRG),http://www.precisionresourcegroup.co.uk,Bristol,staffing & recruiting,280,,"care, technology, education, housing associations, engineering, recruitment",,http://www.linkedin.com/company/prg-precision-resource-group,None found in Apollo,🎯 Target — no product leader found
Rise Technical,http://www.risetechnical.co.uk,Bristol,staffing & recruiting,270,,"recruitment, contract, permanent, engineering, tech recruiting, technology",2005,http://www.linkedin.com/company/rise-technical-recruitment-ltd,None found in Apollo,🎯 Target — no product leader found
Curtis Banks,http://www.curtisbanks.co.uk,Bristol,financial services,250,,"sipp, ssas, selfinvested personal pensions, group pensions, retirement, investment options",2009,http://www.linkedin.com/company/curtis-banks-plc,None found in Apollo,🎯 Target — no product leader found
Best Practice Network,http://www.bestpracticenet.co.uk,Bristol,education management,250,,"special education needs, school leaders, school business manager, teaching assistant, headteacher, safer recruitment",2000,http://www.linkedin.com/school/the-best-practice-network,None found in Apollo,🎯 Target — no product leader found
Capital Law Ltd,http://www.capitallaw.co.uk,Cardiff,law practice,250,,"consultancy training, energy projects, intellectual property, employment law, corporate recovery insolvency, energy amp projects",1992,http://www.linkedin.com/company/capitallawltd,None found in Apollo,🎯 Target — no product leader found
Peter Alan Ltd,http://www.peteralan.co.uk,Cardiff,real estate,250,,"distinctive homes pa black, auctions, lettings, land new homes, mortgages, sales",1965,http://www.linkedin.com/company/peter-alan-ltd,None found in Apollo,🎯 Target — no product leader found
Sponge,http://www.spongelearning.com,Bristol,management consulting,210,,"elearning, motion graphics, lms solutions, interactive video, communication campaigns, learning apps",2004,http://www.linkedin.com/company/spongelearning,None found in Apollo,🎯 Target — no product leader found
AI News,,Bristol,publishing,200,,"ai news, artificial intelligence, ai, artificial intelligence news, book & periodical publishing, information technology & services",,http://www.linkedin.com/company/artificialintelligencenews,None found in Apollo,🎯 Target — no product leader found
SMS Environmental Ltd,http://www.sms-environmental.co.uk,Cardiff,environmental services,190,,"water wastewater treatment, cleaning disinfecting water systems, air conditioning installation & maintenance, control of legionella bacteria, dosage amp control equipment supply & installation, cpd legionella training",2001,http://www.linkedin.com/company/sms-environmental-ltd,None found in Apollo,🎯 Target — no product leader found
SafeLives,http://www.safelives.org.uk,Bristol,civic & social organization,180,,"domestic violence, domestic abuse, policy, research, civic & social organizations, marac",2005,http://www.linkedin.com/company/safelives-uk,None found in Apollo,🎯 Target — no product leader found
iO Associates,http://www.ioassociates.com,Bristol,staffing & recruiting,170,,"rpo, energy recruitment, engineering recruitment, defence recruitment, sow, bespoke recruitment solutions",2015,http://www.linkedin.com/company/ioassociates,None found in Apollo,🎯 Target — no product leader found
Amber,http://www.amber.net,Cardiff,utilities,160,,"electricity, monitoring & targeting, invoice management reporting, procurement fixed, water services, data quality management",2009,http://www.linkedin.com/company/amber-energy-consultants-ltd,None found in Apollo,🎯 Target — no product leader found
Snap Analytics,http://www.snapanalytics.co.uk,Bristol,information technology & services,150,,"sap data services, business intelligence, cloud migration, snowflake, data vault, aws",2019,http://www.linkedin.com/company/snap-analytics,None found in Apollo,🎯 Target — no product leader found
HEOR,http://www.heor.co.uk,Cardiff,research,150,,"health technology assessment, economic modelling, real world data, education & training, disease models, outcomes research",2011,http://www.linkedin.com/company/health-economics-and-outcomes-research-ltd,None found in Apollo,🎯 Target — no product leader found
Linc Cymru,http://www.linc-cymru.co.uk,Cardiff,nonprofit organization management,150,,"extra care housing, nursing home care, dementia care, independant living, palliative care, supported living",1977,http://www.linkedin.com/company/linc-cymru,None found in Apollo,🎯 Target — no product leader found
The Wave,http://www.thewave.com,Bristol,sports,140,,"community engagement, education, inland surf destination development, leisure & tourism development, susutainability, health",2010,http://www.linkedin.com/company/the-wave-uk,None found in Apollo,🎯 Target — no product leader found
Techmodal,http://www.techmodal.com,Bristol,information technology & services,130,,"large language models, strategic planning, cyber wargaming, consultancy, policy digital twin, uk defence",2005,http://www.linkedin.com/company/techmodal-uk,None found in Apollo,🎯 Target — no product leader found
Chorus,http://www.chorus.co.uk,Bristol,information technology & services,130,,"disaster recovery, it support microsoft crm specialists business continuity disaster recovery cloud computing website de, azure, ai copilot, ecommerce systems, managed services",1999,http://www.linkedin.com/company/chorus-it,None found in Apollo,🎯 Target — no product leader found
xcd,http://www.peoplexcd.com,Bristol,human resources,130,,"hr systems implementations, hr consultancy, bespoke hr design & development, hr software, cloud hr solutions, hr business analysis",2010,http://www.linkedin.com/company/xcd-limited,None found in Apollo,🎯 Target — no product leader found
FIS Software,,Cardiff,information technology & services,130,,"life pensions & annuities policy administration systems, software development, information technology & services",,http://www.linkedin.com/company/fis-software,None found in Apollo,🎯 Target — no product leader found
Taxi Studio,http://www.taxistudio.com,Bristol,design,120,,"corporate design, npd, brand guidelines, digital design, digital communications, print management",2002,http://www.linkedin.com/company/taxi-studio,None found in Apollo,🎯 Target — no product leader found
The Pixel,http://www.thepixel.com,Bristol,information technology & services,110,,"omnichannel, training, adobe commerce cloud, adobe analytics, adobe edge delivery services, magento",2001,http://www.linkedin.com/company/the-pixel,None found in Apollo,🎯 Target — no product leader found
ELEVATE,http://www.thinkelevate.com,Bristol,marketing & advertising,110,,"data management, data analytics, crm management, key account growth, crm, our services combine the disciplines of",1995,http://www.linkedin.com/company/elevate,None found in Apollo,🎯 Target — no product leader found
Cardiff Community Housing Association,http://www.ccha.org.uk,Cardiff,nonprofit organization management,110,,"finance ict, lift, care amp repair, customer support services, development, cardiff accessible homes",1996,http://www.linkedin.com/company/cardiff-community-housing-association,None found in Apollo,🎯 Target — no product leader found
